ticker,month,monthly_return_percentage
TMPO.JK,2023-08,-8.0
TMPO.JK,2023-09,-4.2105263157894735
TMPO.JK,2023-10,0.0
TMPO.JK,2023-11,-2.2222222222222223
TMPO.JK,2023-12,-1.1111111111111112
SRSN.JK,2023-01,-3.844644958807363
SRSN.JK,2023-02,0.0
SRSN.JK,2023-03,0.0
SRSN.JK,2023-04,0.0
SRSN.JK,2023-05,0.0
SRSN.JK,2023-06,1.9991840065279414
SRSN.JK,2023-07,8.0
SRSN.JK,2023-08,7.4074074074074066
SRSN.JK,2023-09,-6.896551724137931
SRSN.JK,2023-10,15.09433962264151
SRSN.JK,2023-11,12.903225806451612
SRSN.JK,2023-12,-4.285714285714286
IBOS.JK,2023-01,41.17647058823529
IBOS.JK,2023-02,38.70967741935484
IBOS.JK,2023-03,67.27272727272727
IBOS.JK,2023-04,-4.195804195804196
IBOS.JK,2023-05,40.14598540145985
IBOS.JK,2023-06,-6.557377049180328
IBOS.JK,2023-07,-7.017543859649122
IBOS.JK,2023-08,-15.09433962264151
IBOS.JK,2023-09,19.402985074626866
IBOS.JK,2023-10,15.625
IBOS.JK,2023-11,26.881720430107524
IBOS.JK,2023-12,-21.21212121212121
JAST.JK,2023-01,-3.5294117647058822
JAST.JK,2023-02,11.627906976744185
JAST.JK,2023-03,-26.666666666666668
JAST.JK,2023-04,-3.076923076923077
JAST.JK,2023-05,-8.955223880597014
JAST.JK,2023-06,-3.225806451612903
JAST.JK,2023-07,10.0
JAST.JK,2023-08,-8.19672131147541
JAST.JK,2023-09,-3.508771929824561
JAST.JK,2023-10,-10.526315789473683
JAST.JK,2023-11,2.0
JAST.JK,2023-12,0.0
MPOW.JK,2023-01,-3.5294117647058822
MPOW.JK,2023-02,-9.63855421686747
MPOW.JK,2023-03,-17.56756756756757
MPOW.JK,2023-04,-11.29032258064516
MPOW.JK,2023-05,35.59322033898305
MPOW.JK,2023-06,-5.263157894736842
MPOW.JK,2023-07,-4.0
MPOW.JK,2023-08,-6.944444444444445
MPOW.JK,2023-09,9.090909090909092
MPOW.JK,2023-10,-12.5
